,date,Northland,lagged
0,1992-01-31,95459.28667563922,
1,1992-02-29,100422.27456258412,95459.28667563922
2,1992-03-31,93474.09152086126,100422.27456258412
3,1992-04-30,98437.07940780616,93474.09152086126
4,1992-05-31,93474.09152086126,98437.07940780616
5,1992-06-30,93474.09152086126,93474.09152086126
6,1992-07-31,93474.09152086126,93474.09152086126
7,1992-08-31,97940.7806191116,93474.09152086126
8,1992-09-30,93474.09152086126,97940.7806191116
9,1992-10-31,90000.0,93474.09152086126
10,1992-11-30,93474.09152086126,90000.0
11,1992-12-31,111340.84791386269,93474.09152086126
12,1993-01-31,110348.25033647356,111340.84791386269
13,1993-02-28,100422.27456258412,110348.25033647356
14,1993-03-31,96451.88425302808,100422.27456258412
15,1993-04-30,100422.27456258412,96451.88425302808
16,1993-05-31,105385.2624495288,100422.27456258412
17,1993-06-30,94466.68909825035,105385.2624495288
18,1993-07-31,95459.28667563922,94466.68909825035
19,1993-08-31,94466.68909825035,95459.28667563922
20,1993-09-30,108363.05518169572,94466.68909825035
21,1993-10-31,97444.48183041718,108363.05518169572
22,1993-11-30,100422.27456258412,97444.48183041718
23,1993-12-31,102407.46971736196,100422.27456258412
24,1994-01-31,103400.06729475084,102407.46971736196
25,1994-02-28,105385.2624495288,103400.06729475084
26,1994-03-31,109851.95154777926,105385.2624495288
27,1994-04-30,110348.25033647356,109851.95154777926
28,1994-05-31,114318.6406460296,110348.25033647356
29,1994-06-30,102407.46971736196,114318.6406460296
30,1994-07-31,100422.27456258412,102407.46971736196
31,1994-08-31,110348.25033647356,100422.27456258412
32,1994-09-30,103400.06729475084,110348.25033647356
33,1994-10-31,114318.6406460296,103400.06729475084
34,1994-11-30,113326.04306864052,114318.6406460296
35,1994-12-31,115311.2382234186,113326.04306864052
36,1995-01-31,110348.25033647356,115311.2382234186
37,1995-02-28,115311.2382234186,110348.25033647356
38,1995-03-31,105385.2624495288,115311.2382234186
39,1995-04-30,110348.25033647356,105385.2624495288
40,1995-05-31,113326.04306864052,110348.25033647356
41,1995-06-30,130200.20188425283,113326.04306864052
42,1995-07-31,110348.25033647356,130200.20188425283
43,1995-08-31,111340.84791386269,110348.25033647356
44,1995-09-30,117296.43337819644,111340.84791386269
45,1995-10-31,118289.03095558542,117296.43337819644
46,1995-11-30,115311.2382234186,118289.03095558542
47,1995-12-31,105385.2624495288,115311.2382234186
48,1996-01-31,117296.43337819644,105385.2624495288
49,1996-02-29,117594.21265141317,117296.43337819644
50,1996-03-31,122755.72005383576,117594.21265141317
51,1996-04-30,118289.03095558542,122755.72005383576
52,1996-05-31,122259.42126514122,118289.03095558542
53,1996-06-30,120274.22611036326,122259.42126514122
54,1996-07-31,122755.72005383576,120274.22611036326
55,1996-08-31,117296.43337819644,122755.72005383576
56,1996-09-30,125237.21399730803,117296.43337819644
57,1996-10-31,129207.60430686396,125237.21399730803
58,1996-11-30,132185.3970390308,129207.60430686396
59,1996-12-31,125237.21399730803,132185.3970390308
60,1997-01-31,129207.60430686396,125237.21399730803
61,1997-02-28,133177.99461641978,129207.60430686396
62,1997-03-31,134170.59219380887,133177.99461641978
63,1997-04-30,137644.68371467013,134170.59219380887
64,1997-05-31,144096.56796769856,137644.68371467013
65,1997-06-30,140126.17765814252,144096.56796769856
66,1997-07-31,139133.58008075354,140126.17765814252
67,1997-08-31,145089.16554508742,139133.58008075354
68,1997-09-30,145089.16554508742,145089.16554508742
69,1997-10-31,141118.77523553162,145089.16554508742
70,1997-11-30,149059.55585464323,141118.77523553162
71,1997-12-31,153029.94616419903,149059.55585464323
72,1998-01-31,155015.1413189771,153029.94616419903
73,1998-02-28,146578.06191117095,155015.1413189771
74,1998-03-31,155015.1413189771,146578.06191117095
75,1998-04-30,150052.1534320322,155015.1413189771
76,1998-05-31,159978.12920592178,150052.1534320322
77,1998-06-30,149555.85464333778,159978.12920592178
78,1998-07-31,150052.1534320322,149555.85464333778
79,1998-08-31,162955.92193808872,150052.1534320322
80,1998-09-30,142111.37281292048,162955.92193808872
81,1998-10-31,147074.36069986527,142111.37281292048
82,1998-11-30,158489.23283983837,147074.36069986527
83,1998-12-31,144096.56796769856,158489.23283983837
84,1999-01-31,154022.54374158813,144096.56796769856
85,1999-02-28,147074.36069986527,154022.54374158813
86,1999-03-31,155015.1413189771,147074.36069986527
87,1999-04-30,159978.12920592178,155015.1413189771
88,1999-05-31,157496.6352624494,159978.12920592178
89,1999-06-30,155015.1413189771,157496.6352624494
90,1999-07-31,146081.7631224763,155015.1413189771
91,1999-08-31,146081.7631224763,146081.7631224763
92,1999-09-30,157000.33647375496,146081.7631224763
93,1999-10-31,145089.16554508742,157000.33647375496
94,1999-11-30,148811.406460296,145089.16554508742
95,1999-12-31,149059.55585464323,148811.406460296
96,2000-01-31,177844.8855989233,149059.55585464323
97,2000-02-29,135163.18977119785,177844.8855989233
98,2000-03-31,155015.1413189771,135163.18977119785
99,2000-04-30,160970.72678331088,155015.1413189771
100,2000-05-31,140126.17765814252,160970.72678331088
101,2000-06-30,157992.93405114405,140126.17765814252
102,2000-07-31,135163.18977119785,157992.93405114405
103,2000-08-31,143103.97039030946,135163.18977119785
104,2000-09-30,145089.16554508742,143103.97039030946
105,2000-10-31,160970.72678331088,145089.16554508742
106,2000-11-30,164941.1170928668,160970.72678331088
107,2000-12-31,142111.37281292048,164941.1170928668
108,2001-01-31,155015.1413189771,142111.37281292048
109,2001-02-28,166926.31224764453,155015.1413189771
110,2001-03-31,151541.04979811562,166926.31224764453
111,2001-04-30,155015.1413189771,151541.04979811562
112,2001-05-31,164941.1170928668,155015.1413189771
113,2001-06-30,165437.41588156112,164941.1170928668
114,2001-07-31,167918.90982503362,165437.41588156112
115,2001-08-31,159978.12920592178,167918.90982503362
116,2001-09-30,140126.17765814252,159978.12920592178
117,2001-10-31,167918.90982503362,140126.17765814252
118,2001-11-30,162955.92193808872,167918.90982503362
119,2001-12-31,173378.19650067296,162955.92193808872
120,2002-01-31,164941.1170928668,173378.19650067296
121,2002-02-28,162955.92193808872,164941.1170928668
122,2002-03-31,179830.08075370104,162955.92193808872
123,2002-04-30,163948.5195154777,179830.08075370104
124,2002-05-31,174867.09286675637,163948.5195154777
125,2002-06-30,159978.12920592178,174867.09286675637
126,2002-07-31,181815.27590847912,159978.12920592178
127,2002-08-31,161963.32436069974,181815.27590847912
128,2002-09-30,174867.09286675637,161963.32436069974
129,2002-10-31,174867.09286675637,174867.09286675637
130,2002-11-30,162955.92193808872,174867.09286675637
131,2002-12-31,172881.8977119783,162955.92193808872
132,2003-01-31,169904.10497981147,172881.8977119783
133,2003-02-28,173874.49528936727,169904.10497981147
134,2003-03-31,172881.8977119783,173874.49528936727
135,2003-04-30,155015.1413189771,172881.8977119783
136,2003-05-31,174867.09286675637,155015.1413189771
137,2003-06-30,172385.59892328386,174867.09286675637
138,2003-07-31,179830.08075370104,172385.59892328386
139,2003-08-31,174370.79407806182,179830.08075370104
140,2003-09-30,189756.05652759076,174370.79407806182
141,2003-10-31,189756.05652759076,189756.05652759076
142,2003-11-30,181815.27590847912,189756.05652759076
143,2003-12-31,199682.0323014803,181815.27590847912
144,2004-01-31,195711.6419919245,199682.0323014803
145,2004-02-29,187770.86137281288,195711.6419919245
146,2004-03-31,209608.00807537,187770.86137281288
147,2004-04-30,204645.0201884253,209608.00807537
148,2004-05-31,190748.6541049797,204645.0201884253
149,2004-06-30,189756.05652759076,190748.6541049797
150,2004-07-31,194719.04441453563,189756.05652759076
151,2004-08-31,199443.80888290715,194719.04441453563
152,2004-09-30,202659.82503364724,199443.80888290715
153,2004-10-31,189756.05652759076,202659.82503364724
154,2004-11-30,224496.97173620455,189756.05652759076
155,2004-12-31,224496.97173620455,224496.97173620455
156,2005-01-31,214570.9959623149,224496.97173620455
157,2005-02-28,224496.97173620455,214570.9959623149
158,2005-03-31,249311.9111709285,224496.97173620455
159,2005-04-30,235911.8438761776,249311.9111709285
160,2005-05-31,258245.28936742933,235911.8438761776
161,2005-06-30,245341.5208613728,258245.28936742933
162,2005-07-31,234422.94751009403,245341.5208613728
163,2005-08-31,253282.30148048443,234422.94751009403
164,2005-09-30,262215.67967698514,253282.30148048443
165,2005-10-31,262215.67967698514,262215.67967698514
166,2005-11-30,261719.3808882906,262215.67967698514
167,2005-12-31,310852.9609690443,261719.3808882906
168,2006-01-31,284052.82637954224,310852.9609690443
169,2006-02-28,279089.8384925976,284052.82637954224
170,2006-03-31,287030.6191117092,279089.8384925976
171,2006-04-30,261223.08209959613,287030.6191117092
172,2006-05-31,290008.411843876,261223.08209959613
173,2006-06-30,274126.85060565267,290008.411843876
174,2006-07-31,281075.0336473754,274126.85060565267
175,2006-08-31,269163.86271870777,281075.0336473754
176,2006-09-30,289015.81426648726,269163.86271870777
177,2006-10-31,298941.7900403768,289015.81426648726
178,2006-11-30,293978.8021534319,298941.7900403768
179,2006-12-31,293978.8021534319,293978.8021534319
180,2007-01-31,318793.74158815603,293978.8021534319
181,2007-02-28,293978.8021534319,318793.74158815603
182,2007-03-31,310852.9609690443,293978.8021534319
183,2007-04-30,323756.7294751008,310852.9609690443
184,2007-05-31,328719.7173620457,323756.7294751008
185,2007-06-30,313830.7537012112,328719.7173620457
186,2007-07-31,323756.7294751008,313830.7537012112
187,2007-08-31,323756.7294751008,323756.7294751008
188,2007-09-30,318793.74158815603,323756.7294751008
189,2007-10-31,324749.32705248985,318793.74158815603
190,2007-11-30,303904.7779273216,324749.32705248985
191,2007-12-31,328719.7173620457,303904.7779273216
192,2008-01-31,329712.31493943464,328719.7173620457
193,2008-02-29,321275.23553162854,329712.31493943464
194,2008-03-31,328719.7173620457,321275.23553162854
195,2008-04-30,353534.65679676976,328719.7173620457
196,2008-05-31,308867.76581426646,353534.65679676976
197,2008-06-30,307875.1682368775,308867.76581426646
198,2008-07-31,313830.7537012112,307875.1682368775
199,2008-08-31,286038.0215343201,313830.7537012112
200,2008-09-30,303904.7779273216,286038.0215343201
201,2008-10-31,349067.9676985194,303904.7779273216
202,2008-11-30,325741.92462987883,349067.9676985194
203,2008-12-31,318793.74158815603,325741.92462987883
204,2009-01-31,284052.82637954224,318793.74158815603
205,2009-02-28,308867.76581426646,284052.82637954224
206,2009-03-31,313830.7537012112,308867.76581426646
207,2009-04-30,293978.8021534319,313830.7537012112
208,2009-05-31,313830.7537012112,293978.8021534319
209,2009-06-30,313830.7537012112,313830.7537012112
210,2009-07-31,318793.74158815603,313830.7537012112
211,2009-08-31,289015.81426648726,318793.74158815603
212,2009-09-30,289015.81426648726,289015.81426648726
213,2009-10-31,318793.74158815603,289015.81426648726
214,2009-11-30,338645.69313593535,318793.74158815603
215,2009-12-31,318793.74158815603,338645.69313593535
216,2010-01-31,318793.74158815603,318793.74158815603
217,2010-02-28,308867.76581426646,318793.74158815603
218,2010-03-31,338645.69313593535,308867.76581426646
219,2010-04-30,314327.0524899056,338645.69313593535
220,2010-05-31,308867.76581426646,314327.0524899056
221,2010-06-30,286038.0215343201,308867.76581426646
222,2010-07-31,318793.74158815603,286038.0215343201
223,2010-08-31,313830.7537012112,318793.74158815603
224,2010-09-30,303904.7779273216,313830.7537012112
225,2010-10-31,318793.74158815603,303904.7779273216
226,2010-11-30,313830.7537012112,318793.74158815603
227,2010-12-31,299934.3876177657,313830.7537012112
228,2011-01-31,303904.7779273216,299934.3876177657
229,2011-02-28,329216.0161507401,303904.7779273216
230,2011-03-31,323756.7294751008,329216.0161507401
231,2011-04-30,289015.81426648726,323756.7294751008
232,2011-05-31,284052.82637954224,289015.81426648726
233,2011-06-30,328719.7173620457,284052.82637954224
234,2011-07-31,274623.1493943471,328719.7173620457
235,2011-08-31,309860.36339165544,274623.1493943471
236,2011-09-30,293978.8021534319,309860.36339165544
237,2011-10-31,289015.81426648726,293978.8021534319
238,2011-11-30,313830.7537012112,289015.81426648726
239,2011-12-31,287030.6191117092,313830.7537012112
240,2012-01-31,308867.76581426646,287030.6191117092
241,2012-02-29,318793.74158815603,308867.76581426646
242,2012-03-31,318793.74158815603,318793.74158815603
243,2012-04-30,293978.8021534319,318793.74158815603
244,2012-05-31,289015.81426648726,293978.8021534319
