,date,Marlborough,lagged
0,1992-01-31,94000.00000000012,
1,1992-02-29,104000.00000000012,94000.00000000012
2,1992-03-31,96000.0,104000.00000000012
3,1992-04-30,96000.0,96000.0
4,1992-05-31,97500.00000000012,96000.0
5,1992-06-30,94000.00000000012,97500.00000000012
6,1992-07-31,103000.00000000012,94000.00000000012
7,1992-08-31,95000.00000000012,103000.00000000012
8,1992-09-30,108000.0,95000.00000000012
9,1992-10-31,102000.00000000012,108000.0
10,1992-11-30,92500.0,102000.00000000012
11,1992-12-31,105000.0,92500.0
12,1993-01-31,106500.00000000012,105000.0
13,1993-02-28,97000.0,106500.00000000012
14,1993-03-31,112000.00000000012,97000.0
15,1993-04-30,106000.0,112000.00000000012
16,1993-05-31,101000.00000000012,106000.0
17,1993-06-30,100000.0,101000.00000000012
18,1993-07-31,105000.0,100000.0
19,1993-08-31,108000.0,105000.0
20,1993-09-30,109000.0,108000.0
21,1993-10-31,111000.00000000012,109000.0
22,1993-11-30,112000.00000000012,111000.00000000012
23,1993-12-31,114000.0,112000.00000000012
24,1994-01-31,110000.00000000012,114000.0
25,1994-02-28,120000.00000000012,110000.00000000012
26,1994-03-31,112000.00000000012,120000.00000000012
27,1994-04-30,119000.00000000012,112000.00000000012
28,1994-05-31,115000.0,119000.00000000012
29,1994-06-30,118000.00000000012,115000.0
30,1994-07-31,118000.00000000012,118000.00000000012
31,1994-08-31,120000.00000000012,118000.00000000012
32,1994-09-30,120000.00000000012,120000.00000000012
33,1994-10-31,135000.00000000012,120000.00000000012
34,1994-11-30,124000.0,135000.00000000012
35,1994-12-31,118000.00000000012,124000.0
36,1995-01-31,115000.0,118000.00000000012
37,1995-02-28,125000.0,115000.0
38,1995-03-31,127500.0,125000.0
39,1995-04-30,126000.00000000012,127500.0
40,1995-05-31,134000.0,126000.00000000012
41,1995-06-30,116000.0,134000.0
42,1995-07-31,122000.0,116000.0
43,1995-08-31,115000.0,122000.0
44,1995-09-30,113000.00000000012,115000.0
45,1995-10-31,123500.00000000012,113000.00000000012
46,1995-11-30,117000.0,123500.00000000012
47,1995-12-31,130000.0,117000.0
48,1996-01-31,137500.0,130000.0
49,1996-02-29,130000.0,137500.0
50,1996-03-31,119000.00000000012,130000.0
51,1996-04-30,133000.0,119000.00000000012
52,1996-05-31,130000.0,133000.0
53,1996-06-30,124500.00000000012,130000.0
54,1996-07-31,127500.0,124500.00000000012
55,1996-08-31,125000.0,127500.0
56,1996-09-30,134000.0,125000.0
57,1996-10-31,128500.0,134000.0
58,1996-11-30,124000.0,128500.0
59,1996-12-31,115000.0,124000.0
60,1997-01-31,120000.00000000012,115000.0
61,1997-02-28,115000.0,120000.00000000012
62,1997-03-31,133500.0,115000.0
63,1997-04-30,124000.0,133500.0
64,1997-05-31,130000.0,124000.0
65,1997-06-30,129000.00000000012,130000.0
66,1997-07-31,118000.00000000012,129000.00000000012
67,1997-08-31,135000.00000000012,118000.00000000012
68,1997-09-30,145000.00000000012,135000.00000000012
69,1997-10-31,125000.0,145000.00000000012
70,1997-11-30,126500.0,125000.0
71,1997-12-31,145000.00000000012,126500.0
72,1998-01-31,117000.0,145000.00000000012
73,1998-02-28,130000.0,117000.0
74,1998-03-31,136000.00000000012,130000.0
75,1998-04-30,125000.0,136000.00000000012
76,1998-05-31,138000.00000000012,125000.0
77,1998-06-30,132000.0,138000.00000000012
78,1998-07-31,133500.0,132000.0
79,1998-08-31,123000.0,133500.0
80,1998-09-30,130000.0,123000.0
81,1998-10-31,143000.00000000012,130000.0
82,1998-11-30,125000.0,143000.00000000012
83,1998-12-31,132500.00000000012,125000.0
84,1999-01-31,137000.00000000012,132500.00000000012
85,1999-02-28,129000.00000000012,137000.00000000012
86,1999-03-31,128000.00000000012,129000.00000000012
87,1999-04-30,127000.00000000012,128000.00000000012
88,1999-05-31,128000.00000000012,127000.00000000012
89,1999-06-30,126500.0,128000.00000000012
90,1999-07-31,135500.0,126500.0
91,1999-08-31,137000.00000000012,135500.0
92,1999-09-30,127500.0,137000.00000000012
93,1999-10-31,140000.0,127500.0
94,1999-11-30,125000.0,140000.0
95,1999-12-31,134000.0,125000.0
96,2000-01-31,133000.0,134000.0
97,2000-02-29,125000.0,133000.0
98,2000-03-31,131000.0,125000.0
99,2000-04-30,130000.0,131000.0
100,2000-05-31,131000.0,130000.0
101,2000-06-30,140000.0,131000.0
102,2000-07-31,150000.0,140000.0
103,2000-08-31,125000.0,150000.0
104,2000-09-30,119000.00000000012,125000.0
105,2000-10-31,135000.00000000012,119000.00000000012
106,2000-11-30,147100.0,135000.00000000012
107,2000-12-31,145000.00000000012,147100.0
108,2001-01-31,137500.0,145000.00000000012
109,2001-02-28,135000.00000000012,137500.0
110,2001-03-31,139000.0,135000.00000000012
111,2001-04-30,132000.0,139000.0
112,2001-05-31,142500.0,132000.0
113,2001-06-30,144000.00000000012,142500.0
114,2001-07-31,130000.0,144000.00000000012
115,2001-08-31,128000.00000000012,130000.0
116,2001-09-30,126583.00000000012,128000.00000000012
117,2001-10-31,130000.0,126583.00000000012
118,2001-11-30,133200.0,130000.0
119,2001-12-31,126000.00000000012,133200.0
120,2002-01-31,144000.00000000012,126000.00000000012
121,2002-02-28,122000.0,144000.00000000012
122,2002-03-31,140000.0,122000.0
123,2002-04-30,139000.0,140000.0
124,2002-05-31,134000.0,139000.0
125,2002-06-30,139000.0,134000.0
126,2002-07-31,130000.0,139000.0
127,2002-08-31,137000.00000000012,130000.0
128,2002-09-30,135000.00000000012,137000.00000000012
129,2002-10-31,135000.00000000012,135000.00000000012
130,2002-11-30,145000.00000000012,135000.00000000012
131,2002-12-31,145000.00000000012,145000.00000000012
132,2003-01-31,160000.00000000012,145000.00000000012
133,2003-02-28,143000.00000000012,160000.00000000012
134,2003-03-31,158000.0,143000.00000000012
135,2003-04-30,168000.00000000012,158000.0
136,2003-05-31,171200.00000000012,168000.00000000012
137,2003-06-30,185000.0000000001,171200.00000000012
138,2003-07-31,180000.0,185000.0000000001
139,2003-08-31,210000.0000000001,180000.0
140,2003-09-30,190000.0,210000.0000000001
141,2003-10-31,209500.0000000001,190000.0
142,2003-11-30,200000.0,209500.0000000001
143,2003-12-31,240000.0,200000.0
144,2004-01-31,230000.0,240000.0
145,2004-02-29,230000.0,230000.0
146,2004-03-31,262000.0000000001,230000.0
147,2004-04-30,220000.0000000001,262000.0000000001
148,2004-05-31,235000.0000000001,220000.0000000001
149,2004-06-30,247000.0000000001,235000.0000000001
150,2004-07-31,220000.0000000001,247000.0000000001
151,2004-08-31,236000.0000000001,220000.0000000001
152,2004-09-30,226000.0000000001,236000.0000000001
153,2004-10-31,232500.0000000001,226000.0000000001
154,2004-11-30,257000.0,232500.0000000001
155,2004-12-31,245000.0000000001,257000.0
156,2005-01-31,237500.0,245000.0000000001
157,2005-02-28,242000.0,237500.0
158,2005-03-31,240000.0,242000.0
159,2005-04-30,240000.0,240000.0
160,2005-05-31,230000.0,240000.0
161,2005-06-30,245000.0000000001,230000.0
162,2005-07-31,262000.0000000001,245000.0000000001
163,2005-08-31,242500.0,262000.0000000001
164,2005-09-30,247000.0000000001,242500.0
165,2005-10-31,250000.0,247000.0000000001
166,2005-11-30,248000.0,250000.0
167,2005-12-31,270000.0000000001,248000.0
168,2006-01-31,280000.0,270000.0000000001
169,2006-02-28,266500.0,280000.0
170,2006-03-31,256000.0,266500.0
171,2006-04-30,260000.0000000001,256000.0
172,2006-05-31,260000.0000000001,260000.0000000001
173,2006-06-30,270000.0000000001,260000.0000000001
