,date,Nelson,lagged
198,2008-07-31,317000.0,345000.00000000006
199,2008-08-31,336000.0,317000.0
200,2008-09-30,322000.00000000006,336000.0
201,2008-10-31,315000.00000000006,322000.00000000006
202,2008-11-30,325000.00000000006,315000.00000000006
203,2008-12-31,280000.0,325000.00000000006
204,2009-01-31,320000.0,280000.0
205,2009-02-28,320000.0,320000.0
206,2009-03-31,305000.00000000006,320000.0
207,2009-04-30,295500.0,305000.00000000006
208,2009-05-31,339999.99999999994,295500.0
209,2009-06-30,350100.0,339999.99999999994
210,2009-07-31,350000.00000000006,350100.0
211,2009-08-31,305000.00000000006,350000.00000000006
212,2009-09-30,345000.00000000006,305000.00000000006
213,2009-10-31,310000.0,345000.00000000006
214,2009-11-30,320000.0,310000.0
215,2009-12-31,355000.00000000006,320000.0
216,2010-01-31,310000.0,355000.00000000006
217,2010-02-28,365000.00000000006,310000.0
218,2010-03-31,330000.0,365000.00000000006
219,2010-04-30,355000.00000000006,330000.0
220,2010-05-31,328000.00000000006,355000.00000000006
221,2010-06-30,325000.00000000006,328000.00000000006
222,2010-07-31,325000.00000000006,325000.00000000006
223,2010-08-31,335000.00000000006,325000.00000000006
224,2010-09-30,322000.00000000006,335000.00000000006
225,2010-10-31,345000.00000000006,322000.00000000006
226,2010-11-30,339999.99999999994,345000.00000000006
227,2010-12-31,327000.0,339999.99999999994
228,2011-01-31,330000.0,327000.0
229,2011-02-28,339999.99999999994,330000.0
230,2011-03-31,330000.0,339999.99999999994
231,2011-04-30,350000.00000000006,330000.0
232,2011-05-31,335000.00000000006,350000.00000000006
233,2011-06-30,335000.00000000006,335000.00000000006
234,2011-07-31,318000.00000000006,335000.00000000006
235,2011-08-31,314000.0,318000.00000000006
236,2011-09-30,335000.00000000006,314000.0
237,2011-10-31,330000.0,335000.00000000006
238,2011-11-30,332500.0,330000.0
239,2011-12-31,315000.00000000006,332500.0
240,2012-01-31,320000.0,315000.00000000006
241,2012-02-29,328000.00000000006,320000.0
242,2012-03-31,345500.0,328000.00000000006
243,2012-04-30,310000.0,345500.0
244,2012-05-31,330000.0,310000.0
245,2012-06-30,359000.00000000006,330000.0
246,2012-07-31,360500.00000000006,359000.00000000006
247,2012-08-31,326000.0,360500.00000000006
248,2012-09-30,335500.0,326000.0
249,2012-10-31,355000.00000000006,335500.0
250,2012-11-30,350000.00000000006,355000.00000000006
251,2012-12-31,363000.0,350000.00000000006
252,2013-01-31,325000.00000000006,363000.0
253,2013-02-28,339999.99999999994,325000.00000000006
254,2013-03-31,350000.00000000006,339999.99999999994
255,2013-04-30,339999.99999999994,350000.00000000006
256,2013-05-31,364000.0,339999.99999999994
257,2013-06-30,352000.00000000006,364000.0
258,2013-07-31,352000.00000000006,352000.00000000006
259,2013-08-31,385600.0,352000.00000000006
