,date,Waikato,lagged
0,1992-01-31,100000.0,
1,1992-02-29,105000.00000000012,100000.0
2,1992-03-31,103000.0,105000.00000000012
3,1992-04-30,105000.00000000012,103000.0
4,1992-05-31,105000.00000000012,105000.00000000012
5,1992-06-30,100000.0,105000.00000000012
6,1992-07-31,104000.0,100000.0
7,1992-08-31,100000.0,104000.0
8,1992-09-30,105000.00000000012,100000.0
9,1992-10-31,100000.0,105000.00000000012
10,1992-11-30,105000.00000000012,100000.0
11,1992-12-31,108000.00000000012,105000.00000000012
12,1993-01-31,108000.00000000012,108000.00000000012
13,1993-02-28,102000.00000000012,108000.00000000012
14,1993-03-31,110000.00000000012,102000.00000000012
15,1993-04-30,108000.00000000012,110000.00000000012
16,1993-05-31,102000.00000000012,108000.00000000012
17,1993-06-30,105000.00000000012,102000.00000000012
18,1993-07-31,103000.0,105000.00000000012
19,1993-08-31,106000.00000000012,103000.0
20,1993-09-30,105000.00000000012,106000.00000000012
21,1993-10-31,105000.00000000012,105000.00000000012
22,1993-11-30,107000.0,105000.00000000012
23,1993-12-31,110000.00000000012,107000.0
24,1994-01-31,115000.00000000012,110000.00000000012
25,1994-02-28,110000.00000000012,115000.00000000012
26,1994-03-31,114500.00000000012,110000.00000000012
27,1994-04-30,115000.00000000012,114500.00000000012
28,1994-05-31,115000.00000000012,115000.00000000012
29,1994-06-30,117000.0,115000.00000000012
30,1994-07-31,115000.00000000012,117000.0
31,1994-08-31,117000.0,115000.00000000012
32,1994-09-30,118000.00000000012,117000.0
33,1994-10-31,119500.0,118000.00000000012
34,1994-11-30,120000.0,119500.0
35,1994-12-31,120000.0,120000.0
36,1995-01-31,125000.00000000012,120000.0
37,1995-02-28,119000.00000000012,125000.00000000012
38,1995-03-31,125000.00000000012,119000.00000000012
39,1995-04-30,123000.00000000012,125000.00000000012
40,1995-05-31,122500.0,123000.00000000012
41,1995-06-30,119000.00000000012,122500.0
42,1995-07-31,123000.00000000012,119000.00000000012
43,1995-08-31,120100.0,123000.00000000012
44,1995-09-30,125000.00000000012,120100.0
45,1995-10-31,125000.00000000012,125000.00000000012
46,1995-11-30,128000.0,125000.00000000012
47,1995-12-31,120000.0,128000.0
48,1996-01-31,133000.00000000012,120000.0
49,1996-02-29,133000.00000000012,133000.00000000012
50,1996-03-31,132000.00000000012,133000.00000000012
51,1996-04-30,129000.00000000012,132000.00000000012
52,1996-05-31,134000.0,129000.00000000012
53,1996-06-30,130000.00000000012,134000.0
54,1996-07-31,135000.00000000012,130000.00000000012
55,1996-08-31,131000.0,135000.00000000012
56,1996-09-30,135000.00000000012,131000.0
57,1996-10-31,136000.00000000012,135000.00000000012
58,1996-11-30,139000.00000000012,136000.00000000012
59,1996-12-31,140000.00000000012,139000.00000000012
60,1997-01-31,140000.00000000012,140000.00000000012
61,1997-02-28,139000.00000000012,140000.00000000012
62,1997-03-31,140000.00000000012,139000.00000000012
63,1997-04-30,142000.00000000012,140000.00000000012
64,1997-05-31,139000.00000000012,142000.00000000012
65,1997-06-30,145000.00000000012,139000.00000000012
66,1997-07-31,147000.00000000012,145000.00000000012
67,1997-08-31,149000.00000000012,147000.00000000012
68,1997-09-30,145000.00000000012,149000.00000000012
69,1997-10-31,148000.0,145000.00000000012
70,1997-11-30,148000.0,148000.0
71,1997-12-31,148000.0,148000.0
72,1998-01-31,147500.00000000012,148000.0
73,1998-02-28,145000.00000000012,147500.00000000012
74,1998-03-31,145000.00000000012,145000.00000000012
75,1998-04-30,143000.00000000012,145000.00000000012
76,1998-05-31,146000.00000000012,143000.00000000012
77,1998-06-30,147500.00000000012,146000.00000000012
78,1998-07-31,147000.00000000012,147500.00000000012
79,1998-08-31,147835.0,147000.00000000012
80,1998-09-30,145000.00000000012,147835.0
81,1998-10-31,150000.00000000012,145000.00000000012
82,1998-11-30,150000.00000000012,150000.00000000012
83,1998-12-31,150000.00000000012,150000.00000000012
84,1999-01-31,147000.00000000012,150000.00000000012
85,1999-02-28,150000.00000000012,147000.00000000012
86,1999-03-31,152000.00000000012,150000.00000000012
87,1999-04-30,153000.00000000012,152000.00000000012
88,1999-05-31,155000.0,153000.00000000012
89,1999-06-30,150000.00000000012,155000.0
90,1999-07-31,152000.00000000012,150000.00000000012
91,1999-08-31,155000.0,152000.00000000012
92,1999-09-30,160000.00000000012,155000.0
93,1999-10-31,155000.0,160000.00000000012
94,1999-11-30,157500.00000000012,155000.0
95,1999-12-31,152800.00000000012,157500.00000000012
96,2000-01-31,155000.0,152800.00000000012
97,2000-02-29,155000.0,155000.0
98,2000-03-31,156000.00000000012,155000.0
99,2000-04-30,156000.00000000012,156000.00000000012
100,2000-05-31,150000.00000000012,156000.00000000012
101,2000-06-30,155500.00000000012,150000.00000000012
102,2000-07-31,152000.00000000012,155500.00000000012
103,2000-08-31,156000.00000000012,152000.00000000012
104,2000-09-30,150500.00000000012,156000.00000000012
105,2000-10-31,159000.00000000012,150500.00000000012
106,2000-11-30,150000.00000000012,159000.00000000012
107,2000-12-31,155000.0,150000.00000000012
108,2001-01-31,154000.0,155000.0
109,2001-02-28,160000.00000000012,154000.0
110,2001-03-31,160000.00000000012,160000.00000000012
111,2001-04-30,165000.0,160000.00000000012
112,2001-05-31,150000.00000000012,165000.0
113,2001-06-30,146000.00000000012,150000.00000000012
114,2001-07-31,160000.00000000012,146000.00000000012
115,2001-08-31,159000.00000000012,160000.00000000012
116,2001-09-30,157000.0,159000.00000000012
117,2001-10-31,160000.00000000012,157000.0
118,2001-11-30,158000.0,160000.00000000012
119,2001-12-31,165000.0,158000.0
120,2002-01-31,165000.0,165000.0
121,2002-02-28,162500.0,165000.0
122,2002-03-31,145000.00000000012,162500.0
123,2002-04-30,166000.00000000012,145000.00000000012
124,2002-05-31,160000.00000000012,166000.00000000012
125,2002-06-30,156500.0,160000.00000000012
126,2002-07-31,165000.0,156500.0
127,2002-08-31,157000.0,165000.0
128,2002-09-30,168000.0,157000.0
129,2002-10-31,160000.00000000012,168000.0
130,2002-11-30,163000.00000000012,160000.00000000012
131,2002-12-31,165000.0,163000.00000000012
132,2003-01-31,171000.0,165000.0
133,2003-02-28,172000.00000000012,171000.0
134,2003-03-31,162500.0,172000.00000000012
135,2003-04-30,175000.0,162500.0
136,2003-05-31,170000.00000000012,175000.0
137,2003-06-30,171000.0,170000.00000000012
138,2003-07-31,169000.00000000012,171000.0
139,2003-08-31,175000.0,169000.00000000012
140,2003-09-30,172500.00000000012,175000.0
141,2003-10-31,175000.0,172500.00000000012
142,2003-11-30,179000.00000000012,175000.0
143,2003-12-31,189000.0000000001,179000.00000000012
144,2004-01-31,183000.0000000001,189000.0000000001
145,2004-02-29,193500.0,183000.0000000001
146,2004-03-31,189000.0000000001,193500.0
147,2004-04-30,180000.00000000012,189000.0000000001
148,2004-05-31,187000.0000000001,180000.00000000012
149,2004-06-30,187500.0000000001,187000.0000000001
150,2004-07-31,195000.0,187500.0000000001
151,2004-08-31,200000.0000000001,195000.0
152,2004-09-30,200000.0000000001,200000.0000000001
153,2004-10-31,227000.0000000001,200000.0000000001
154,2004-11-30,230000.0000000001,227000.0000000001
155,2004-12-31,220000.0000000001,230000.0000000001
156,2005-01-31,238000.0000000001,220000.0000000001
157,2005-02-28,245000.0,238000.0000000001
158,2005-03-31,243000.0000000001,245000.0
159,2005-04-30,240000.0000000001,243000.0000000001
160,2005-05-31,243000.0000000001,240000.0000000001
161,2005-06-30,245000.0,243000.0000000001
162,2005-07-31,250000.0000000001,245000.0
