,date,Gisborne,lagged
0,1992-01-31,80487.13951675768,
1,1992-02-29,76496.49259547924,80487.13951675768
2,1992-03-31,84477.78643803578,76496.49259547924
3,1992-04-30,80487.13951675768,84477.78643803578
4,1992-05-31,86473.10989867488,80487.13951675768
5,1992-06-30,75000.0,86473.10989867488
6,1992-07-31,76496.49259547924,75000.0
7,1992-08-31,86971.94076383475,76496.49259547924
8,1992-09-30,79489.47778643807,86971.94076383475
9,1992-10-31,83978.95557287615,79489.47778643807
10,1992-11-30,85475.44816835539,83978.95557287615
11,1992-12-31,85475.44816835539,85475.44816835539
12,1993-01-31,89466.09508963372,85475.44816835539
13,1993-02-28,86473.10989867488,89466.09508963372
14,1993-03-31,83480.12470771617,86473.10989867488
15,1993-04-30,88967.26422447385,83480.12470771617
16,1993-05-31,86473.10989867488,88967.26422447385
17,1993-06-30,79489.47778643807,86473.10989867488
18,1993-07-31,86473.10989867488,79489.47778643807
19,1993-08-31,94454.40374123142,86473.10989867488
20,1993-09-30,101438.03585346836,94454.40374123142
21,1993-10-31,100939.20498830872,101438.03585346836
22,1993-11-30,91960.24941543255,100939.20498830872
23,1993-12-31,86473.10989867488,91960.24941543255
24,1994-01-31,93456.7420109118,86473.10989867488
25,1994-02-28,104431.02104442718,93456.7420109118
26,1994-03-31,101438.03585346836,104431.02104442718
27,1994-04-30,111414.653156664,101438.03585346836
28,1994-05-31,98445.05066250965,111414.653156664
29,1994-06-30,109419.32969602488,98445.05066250965
30,1994-07-31,104431.02104442718,109419.32969602488
31,1994-08-31,116402.9618082618,104431.02104442718
32,1994-09-30,106426.34450506615,116402.9618082618
33,1994-10-31,113409.9766173032,106426.34450506615
34,1994-11-30,131367.88776305527,113409.9766173032
35,1994-12-31,130370.22603273578,131367.88776305527
36,1995-01-31,127377.24084177706,130370.22603273578
37,1995-02-28,97447.38893219014,127377.24084177706
38,1995-03-31,108421.66796570527,97447.38893219014
39,1995-04-30,96449.72720187064,108421.66796570527
40,1995-05-31,116402.9618082618,96449.72720187064
41,1995-06-30,107922.83710054564,116402.9618082618
42,1995-07-31,122388.93219017924,107922.83710054564
43,1995-08-31,106426.34450506615,122388.93219017924
44,1995-09-30,117400.62353858142,106426.34450506615
45,1995-10-31,116402.9618082618,117400.62353858142
46,1995-11-30,111414.653156664,116402.9618082618
47,1995-12-31,119894.77786438027,111414.653156664
48,1996-01-31,116402.9618082618,119894.77786438027
49,1996-02-29,113908.80748246296,116402.9618082618
50,1996-03-31,111414.653156664,113908.80748246296
51,1996-04-30,106426.34450506615,111414.653156664
52,1996-05-31,122887.763055339,106426.34450506615
53,1996-06-30,117400.62353858142,122887.763055339
54,1996-07-31,124384.25565081836,117400.62353858142
55,1996-08-31,111414.653156664,124384.25565081836
56,1996-09-30,108421.66796570527,111414.653156664
57,1996-10-31,111414.653156664,108421.66796570527
58,1996-11-30,121391.27045985976,111414.653156664
59,1996-12-31,114407.63834762282,121391.27045985976
60,1997-01-31,126878.40997661732,114407.63834762282
61,1997-02-28,116402.9618082618,126878.40997661732
62,1997-03-31,116402.9618082618,116402.9618082618
63,1997-04-30,111414.653156664,116402.9618082618
64,1997-05-31,111414.653156664,111414.653156664
65,1997-06-30,111414.653156664,111414.653156664
66,1997-07-31,121391.27045985976,111414.653156664
67,1997-08-31,106426.34450506615,121391.27045985976
68,1997-09-30,107424.00623538578,106426.34450506615
69,1997-10-31,123885.4247856586,107424.00623538578
70,1997-11-30,126379.57911145744,123885.4247856586
71,1997-12-31,113409.9766173032,126379.57911145744
72,1998-01-31,96449.72720187064,113409.9766173032
73,1998-02-28,94953.23460639115,96449.72720187064
74,1998-03-31,94454.40374123142,94953.23460639115
75,1998-04-30,90962.58768511307,94454.40374123142
76,1998-05-31,91461.4185502727,90962.58768511307
77,1998-06-30,105428.6827747468,91461.4185502727
78,1998-07-31,101438.03585346836,105428.6827747468
79,1998-08-31,94454.40374123142,101438.03585346836
80,1998-09-30,96449.72720187064,94454.40374123142
81,1998-10-31,85475.44816835539,96449.72720187064
82,1998-11-30,124384.25565081836,85475.44816835539
83,1998-12-31,91461.4185502727,124384.25565081836
84,1999-01-31,119395.94699922053,91461.4185502727
85,1999-02-28,111414.653156664,119395.94699922053
86,1999-03-31,121391.27045985976,111414.653156664
87,1999-04-30,86473.10989867488,121391.27045985976
88,1999-05-31,106426.34450506615,86473.10989867488
89,1999-06-30,96449.72720187064,106426.34450506615
90,1999-07-31,105428.6827747468,96449.72720187064
91,1999-08-31,114906.46921278244,105428.6827747468
92,1999-09-30,125381.91738113784,114906.46921278244
93,1999-10-31,101438.03585346836,125381.91738113784
94,1999-11-30,113409.9766173032,101438.03585346836
95,1999-12-31,121391.27045985976,113409.9766173032
96,2000-01-31,132365.54949337489,121391.27045985976
97,2000-02-29,109419.32969602488,132365.54949337489
98,2000-03-31,111414.653156664,109419.32969602488
99,2000-04-30,98445.05066250965,111414.653156664
100,2000-05-31,99442.71239282924,98445.05066250965
101,2000-06-30,101438.03585346836,99442.71239282924
102,2000-07-31,113409.9766173032,101438.03585346836
103,2000-08-31,126379.57911145744,113409.9766173032
104,2000-09-30,116402.9618082618,126379.57911145744
105,2000-10-31,102435.69758378796,116402.9618082618
106,2000-11-30,113409.9766173032,102435.69758378796
107,2000-12-31,94454.40374123142,113409.9766173032
108,2001-01-31,106426.34450506615,94454.40374123142
109,2001-02-28,100440.37412314884,106426.34450506615
110,2001-03-31,121391.27045985976,100440.37412314884
111,2001-04-30,121391.27045985976,121391.27045985976
112,2001-05-31,93456.7420109118,121391.27045985976
113,2001-06-30,101438.03585346836,93456.7420109118
114,2001-07-31,95950.89633671078,101438.03585346836
115,2001-08-31,88468.4333593141,95950.89633671078
116,2001-09-30,106426.34450506615,88468.4333593141
117,2001-10-31,94454.40374123142,106426.34450506615
118,2001-11-30,96449.72720187064,94454.40374123142
119,2001-12-31,111414.653156664,96449.72720187064
120,2002-01-31,116402.9618082618,111414.653156664
121,2002-02-28,107424.00623538578,116402.9618082618
122,2002-03-31,101438.03585346836,107424.00623538578
123,2002-04-30,113409.9766173032,101438.03585346836
124,2002-05-31,116402.9618082618,113409.9766173032
125,2002-06-30,108421.66796570527,116402.9618082618
126,2002-07-31,86473.10989867488,108421.66796570527
127,2002-08-31,106426.34450506615,86473.10989867488
128,2002-09-30,121391.27045985976,106426.34450506615
129,2002-10-31,90463.7568199532,121391.27045985976
130,2002-11-30,107424.00623538578,90463.7568199532
131,2002-12-31,108421.66796570527,107424.00623538578
132,2003-01-31,124384.25565081836,108421.66796570527
133,2003-02-28,100440.37412314884,124384.25565081836
134,2003-03-31,119395.94699922053,100440.37412314884
135,2003-04-30,121391.27045985976,119395.94699922053
136,2003-05-31,111414.653156664,121391.27045985976
137,2003-06-30,114407.63834762282,111414.653156664
138,2003-07-31,111414.653156664,114407.63834762282
139,2003-08-31,116402.9618082618,111414.653156664
140,2003-09-30,131367.88776305527,116402.9618082618
141,2003-10-31,121391.27045985976,131367.88776305527
142,2003-11-30,128374.90257209667,121391.27045985976
143,2003-12-31,120393.60872954014,128374.90257209667
144,2004-01-31,117400.62353858142,120393.60872954014
145,2004-02-29,114407.63834762282,117400.62353858142
146,2004-03-31,123386.59392049874,114407.63834762282
147,2004-04-30,124384.25565081836,123386.59392049874
148,2004-05-31,141344.50506625092,124384.25565081836
149,2004-06-30,121391.27045985976,141344.50506625092
150,2004-07-31,141344.50506625092,121391.27045985976
151,2004-08-31,127626.656274357,141344.50506625092
152,2004-09-30,132365.54949337489,127626.656274357
153,2004-10-31,146332.81371784885,132365.54949337489
154,2004-11-30,140346.8433359313,146332.81371784885
155,2004-12-31,160300.0779423226,140346.8433359313
156,2005-01-31,156309.43102104438,160300.0779423226
157,2005-02-28,163293.0631332813,156309.43102104438
158,2005-03-31,186239.2829306313,163293.0631332813
159,2005-04-30,166286.04832424002,186239.2829306313
160,2005-05-31,186239.2829306313,166286.04832424002
161,2005-06-30,186239.2829306313,186239.2829306313
162,2005-07-31,211180.8261886204,186239.2829306313
163,2005-08-31,163791.89399844105,211180.8261886204
164,2005-09-30,181250.9742790335,163791.89399844105
165,2005-10-31,203997.66173031944,181250.9742790335
166,2005-11-30,226145.75214341385,203997.66173031944
167,2005-12-31,201204.2088854247,226145.75214341385
168,2006-01-31,206192.51753702253,201204.2088854247
169,2006-02-28,219162.12003117692,206192.51753702253
170,2006-03-31,214173.8113795792,219162.12003117692
171,2006-04-30,208187.8409976617,214173.8113795792
172,2006-05-31,241110.67809820728,208187.8409976617
173,2006-06-30,196215.90023382692,241110.67809820728
174,2006-07-31,211180.8261886204,196215.90023382692
175,2006-08-31,221656.2743569758,211180.8261886204
176,2006-09-30,211180.8261886204,221656.2743569758
177,2006-10-31,226145.75214341385,211180.8261886204
178,2006-11-30,243106.00155884644,226145.75214341385
179,2006-12-31,221157.44349181608,243106.00155884644
180,2007-01-31,244103.663289166,221157.44349181608
181,2007-02-28,256075.60405300077,244103.663289166
