,date,Auckland,lagged
0,1992-01-31,135000.0,
1,1992-02-29,142000.0,135000.0
2,1992-03-31,135000.0,142000.0
3,1992-04-30,135000.0,135000.0
4,1992-05-31,135000.0,135000.0
5,1992-06-30,137000.0,135000.0
6,1992-07-31,137999.99999999977,137000.0
7,1992-08-31,136000.0,137999.99999999977
8,1992-09-30,140000.0,136000.0
9,1992-10-31,137500.0,140000.0
10,1992-11-30,140499.99999999977,137500.0
11,1992-12-31,145000.0,140499.99999999977
12,1993-01-31,140000.0,145000.0
13,1993-02-28,140000.0,140000.0
14,1993-03-31,138999.99999999977,140000.0
15,1993-04-30,147000.0,138999.99999999977
16,1993-05-31,142000.0,147000.0
17,1993-06-30,142999.99999999977,142000.0
18,1993-07-31,140000.0,142999.99999999977
19,1993-08-31,144499.99999999977,140000.0
20,1993-09-30,145000.0,144499.99999999977
21,1993-10-31,148000.0,145000.0
22,1993-11-30,150000.0,148000.0
23,1993-12-31,159999.99999999977,150000.0
24,1994-01-31,153999.99999999977,159999.99999999977
25,1994-02-28,154999.99999999977,153999.99999999977
26,1994-03-31,159000.0,154999.99999999977
27,1994-04-30,162000.0,159000.0
28,1994-05-31,165000.0,162000.0
29,1994-06-30,170000.0,165000.0
30,1994-07-31,171999.99999999977,170000.0
31,1994-08-31,177000.0,171999.99999999977
32,1994-09-30,171999.99999999977,177000.0
33,1994-10-31,179000.0,171999.99999999977
34,1994-11-30,180000.0,179000.0
35,1994-12-31,180000.0,180000.0
36,1995-01-31,173999.99999999977,180000.0
37,1995-02-28,180000.0,173999.99999999977
38,1995-03-31,179000.0,180000.0
39,1995-04-30,180000.0,179000.0
40,1995-05-31,180000.0,180000.0
41,1995-06-30,180000.0,180000.0
42,1995-07-31,184999.99999999977,180000.0
43,1995-08-31,192950.0,184999.99999999977
44,1995-09-30,194000.0,192950.0
45,1995-10-31,198000.0,194000.0
46,1995-11-30,205000.0,198000.0
47,1995-12-31,210000.0,205000.0
48,1996-01-31,204500.0,210000.0
49,1996-02-29,222000.0,204500.0
50,1996-03-31,229999.99999999977,222000.0
51,1996-04-30,229999.99999999977,229999.99999999977
52,1996-05-31,229999.99999999977,229999.99999999977
53,1996-06-30,224999.99999999977,229999.99999999977
54,1996-07-31,224000.0,224999.99999999977
55,1996-08-31,224999.99999999977,224000.0
56,1996-09-30,222000.0,224999.99999999977
57,1996-10-31,224999.99999999977,222000.0
58,1996-11-30,227999.99999999977,224999.99999999977
59,1996-12-31,233000.0,227999.99999999977
