,date,Bay_of_Plenty,lagged
69,1997-10-31,170377.57437070948,169386.72768878716
70,1997-11-30,174340.9610983982,170377.57437070948
71,1997-12-31,177313.50114416482,174340.9610983982
72,1998-01-31,176322.6544622425,177313.50114416482
73,1998-02-28,167405.03432494286,176322.6544622425
74,1998-03-31,172359.26773455378,167405.03432494286
75,1998-04-30,167405.03432494286,172359.26773455378
76,1998-05-31,177313.50114416482,167405.03432494286
77,1998-06-30,182267.73455377572,177313.50114416482
78,1998-07-31,180286.04118993145,182267.73455377572
79,1998-08-31,176818.0778032036,180286.04118993145
80,1998-09-30,173350.114416476,176818.0778032036
81,1998-10-31,167900.45766590384,173350.114416476
82,1998-11-30,183258.58123569784,167900.45766590384
83,1998-12-31,175331.8077803203,183258.58123569784
84,1999-01-31,177313.50114416482,175331.8077803203
85,1999-02-28,179790.61784897037,177313.50114416482
86,1999-03-31,180286.04118993145,179790.61784897037
87,1999-04-30,175331.8077803203,180286.04118993145
88,1999-05-31,172359.26773455378,175331.8077803203
89,1999-06-30,184249.42791762017,172359.26773455378
90,1999-07-31,177313.50114416482,184249.42791762017
91,1999-08-31,172359.26773455378,177313.50114416482
92,1999-09-30,187221.9679633868,172359.26773455378
93,1999-10-31,182267.73455377572,187221.9679633868
94,1999-11-30,191185.35469107563,182267.73455377572
95,1999-12-31,185240.27459954223,191185.35469107563
96,2000-01-31,184249.42791762017,185240.27459954223
97,2000-02-29,179295.19450800912,184249.42791762017
98,2000-03-31,192176.2013729977,179295.19450800912
99,2000-04-30,182267.73455377572,192176.2013729977
100,2000-05-31,187221.9679633868,182267.73455377572
101,2000-06-30,182267.73455377572,187221.9679633868
102,2000-07-31,179790.61784897037,182267.73455377572
103,2000-08-31,175331.8077803203,179790.61784897037
104,2000-09-30,172359.26773455378,175331.8077803203
105,2000-10-31,172359.26773455378,172359.26773455378
106,2000-11-30,187221.9679633868,172359.26773455378
107,2000-12-31,192176.2013729977,187221.9679633868
108,2001-01-31,189699.08466819208,192176.2013729977
109,2001-02-28,180781.46453089244,189699.08466819208
110,2001-03-31,182267.73455377572,180781.46453089244
