,date,Wellington,lagged
174,2006-07-31,330000.0,327000.0000000001
175,2006-08-31,335000.0000000001,330000.0
176,2006-09-30,330000.0,335000.0000000001
177,2006-10-31,355000.0000000001,330000.0
178,2006-11-30,370000.0000000001,355000.0000000001
179,2006-12-31,360000.0000000001,370000.0000000001
180,2007-01-31,350000.0000000001,360000.0000000001
181,2007-02-28,372000.0000000001,350000.0000000001
182,2007-03-31,375000.0000000001,372000.0000000001
183,2007-04-30,376800.0000000001,375000.0000000001
184,2007-05-31,390000.0000000001,376800.0000000001
185,2007-06-30,374000.0000000001,390000.0000000001
186,2007-07-31,375000.0000000001,374000.0000000001
187,2007-08-31,375000.0000000001,375000.0000000001
188,2007-09-30,380000.0000000001,375000.0000000001
189,2007-10-31,369000.0000000001,380000.0000000001
190,2007-11-30,400000.0000000001,369000.0000000001
191,2007-12-31,365000.0000000001,400000.0000000001
192,2008-01-31,365000.0000000001,365000.0000000001
193,2008-02-29,381000.0000000001,365000.0000000001
194,2008-03-31,405000.0,381000.0000000001
195,2008-04-30,375000.0000000001,405000.0
196,2008-05-31,389000.0000000001,375000.0000000001
197,2008-06-30,375000.0000000001,389000.0000000001
198,2008-07-31,371000.0000000001,375000.0000000001
199,2008-08-31,367000.0000000001,371000.0000000001
200,2008-09-30,350000.0000000001,367000.0000000001
201,2008-10-31,366700.0000000001,350000.0000000001
202,2008-11-30,370000.0000000001,366700.0000000001
203,2008-12-31,380000.0000000001,370000.0000000001
204,2009-01-31,355000.0000000001,380000.0000000001
205,2009-02-28,376000.0000000001,355000.0000000001
206,2009-03-31,375000.0000000001,376000.0000000001
207,2009-04-30,365000.0000000001,375000.0000000001
208,2009-05-31,380000.0000000001,365000.0000000001
209,2009-06-30,375500.0,380000.0000000001
210,2009-07-31,368500.0000000001,375500.0
211,2009-08-31,395000.0000000001,368500.0000000001
212,2009-09-30,378000.0000000001,395000.0000000001
213,2009-10-31,415000.0,378000.0000000001
214,2009-11-30,391000.0000000001,415000.0
